id,casestudy_area,casestudy_area_code,date,organisation_tariff_name,First_20_units(d/unit),After_20_units(d/unit),Light_(flat_d/unit),Power_(flat)_(d/unit),Light_max_demand_(d/unit),Power_max_demand_(d/unit),LightFirst1000Units_(d/unit),LightSecond1000Units_per_month_(d/unit),LightThird1000Units_per_month_(d/unit),LigthOver3000Units_per_month_(d/unit),PowerAndHeat_(d/unit),PowerAndHeat75hoursPeak_(d/unit),PoweAndHeatOver75peak_(d/unit),Charge_per_room_per_month,"Residential_3_rooms_or_less_""GB""/""GD""/""GR""_First_X_units_per_qu","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Next_X_units_per_qua","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Balance_units_per_qu",First_1200_kwhquarter_Tariff_J_(c/kWh),Balance_kWh_per_quarter_Tariff_J_(c/kWh),"I_J_/""GD""/""GR""_Minimum_charge__($/per_quarter)_1982",YandJ_Water_and_space_heating_1984,Energy_charge_per_unit_(d_or_c_/_kwh),Standing_charge_($/year),TUoS Block_1_(c/kWh),TUoS Block_2_(c/kWh),TUoS Summer_peak_(c/kWh),TUoS Summer_shoulder_(c/kWh) ,TUoS Winter_peak_(c/kWh),TUoS Average_(c/kWh),Network_charges Block_1/peak_(c/kWh),Extras_(summer_export),Premium_FiT,average_dckwh
727,Goulburn,NM,1921-01-01,1921GOULBURN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
728,Nathalia,NM,1921-01-01,1921NATHALIA,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
729,Nhill,NM,1921-01-01,1921NHILL,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
730,Northcote,M,1921-01-01,1921NORTHCOTE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
731,Numurkah,NM,1921-01-01,1921NUMURKAH,,,8,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5
732,Orbost,NM,1921-01-01,1921ORBOST,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
733,Portmelbourne,M,1921-01-01,1921PORTMELBOURNE,,,5,2,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
734,Preston,M,1921-01-01,1921PRESTON,,,5.5,2.5,,1.625,,,,,,,,,,,,,,,,,,,,,,,,,,,3.208333333
735,Rainbow,NM,1921-01-01,1921RAINBOW,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
736,Riverlatrobehydro,NM,1921-01-01,1921RIVERLATROBEHYDRO,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
737,Rochester,NM,1921-01-01,1921ROCHESTER,,,7.5,5,,,,8,6,,4,,,,,,,,,,,,,,,,,,,,,,6.1
738,Rushworth,NM,1921-01-01,1921RUSHWORTH,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
739,Rutherglen,NM,1921-01-01,1921RUTHERGLEN,,,8,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
740,Sale,NM,1921-01-01,1921SALE,,,7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
741,Sealake,NM,1921-01-01,1921SEALAKE,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
742,Seymour,NM,1921-01-01,1921SEYMOUR,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
743,Shepparton,NM,1921-01-01,1921SHEPPARTON,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
744,Sorrento,NM,1921-01-01,1921SORRENTO,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
745,Stawell,NM,1921-01-01,1921STAWELL,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
746,Sunbury,NM,1921-01-01,1921SUNBURY,,,9.5,5,7.5,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,5.8
747,Sunshine,NM,1921-01-01,1921SUNSHINE,,,6.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
748,Swanhill,NM,1921-01-01,1921SWANHILL,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
749,Tatura,NM,1921-01-01,1921TATURA,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
750,Terang,NM,1921-01-01,1921TERANG,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
751,Toora,NM,1921-01-01,1921TOORA,,,12,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666666667
752,Wahgunyah,NM,1921-01-01,1921WAHGUNYAH,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
753,Werribee,NM,1921-01-01,1921WERRIBEE,,,10,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
754,Williamstown,NM,1921-01-01,1921WILLIAMSTOWN,,,5.5,4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667
755,Wodonga,NM,1921-01-01,Wodonga,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
756,Woodend,NM,1921-01-01,1921WOODEND,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
757,Wycheproof,NM,1921-01-01,1921WYCHEPROOF,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
758,Yarram,NM,1921-01-01,1921YARRAM,,,8,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
759,Yarrawonga,NM,1921-01-01,1921YARRAWONGA,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
760,Melbourne,M,1922-01-01,Corporation of the City of Melbourne,,,4.5,2.25,2.25,0.25,,7,1.5,,2.5,1.5,0.5,,,,,,,,,,,,,,,,,,,,2.472222222
761,Metro,M,1922-01-01,Melbourne Electric Supply Co. Ltd.,,,5.25,2.5,3.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8125
762,Alexandra,NM,1922-01-01,1922ALEXANDRA,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
763,Ararat,NM,1922-01-01,1922ARARAT,,,54,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.66666667
764,Bairnsdale,NM,1922-01-01,1922BAIRNSDALE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
765,Bacchusmarsh,NM,1922-01-01,1922BACCHUSMARSH,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
766,Belgrave,NM,1922-01-01,1922BELGRAVE,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
767,Ballarat,NM,1922-01-01,Electric Supply Company of Victoria Limited,,,9,3.5,9,1.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,5.4
768,Bendigo,NM,1922-01-01,Electric Supply Company of Victoria Limited,,,9,4,9,1.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,5.7
769,Karkarooc,NM,1922-01-01,1922KARKAROOC,,,68,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5
770,Beaufort,NM,1922-01-01,1922BEAUFORT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
771,Birchip,NM,1922-01-01,1922BIRCHIP,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
772,Bellarinemesco,NM,1922-01-01,1922BELLARINEMESCO,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
773,Benalla,NM,1922-01-01,1922BENALLA,,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
774,Boxhill,M,1922-01-01,1922BOXHILL,,,6,2.5,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
775,Braybrook,NM,1922-01-01,1922BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
776,Bright,NM,1922-01-01,1922BRIGHT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
777,Broadmeadows,M,1922-01-01,1922BROADMEADOWS,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
778,Brunswick,M,1922-01-01,1922BRUNSWICK,,,6,2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.166666667
779,Boort,NM,1922-01-01,1922BOORT,,,12,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25
780,Camperdown,NM,1922-01-01,1922CAMPERDOWN,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
781,Castlemaine,NM,1922-01-01,1922CASTLEMAINE,,,12,4.5,9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
782,Casterton,NM,1922-01-01,1922CASTERTON,,,10.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
783,Carrum,NM,1922-01-01,1922CARRUM,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
784,Charlton,NM,1922-01-01,1922CHARLTON,,,12,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25
785,Cobram,NM,1922-01-01,1922COBRAM,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
786,Coburg,M,1922-01-01,1922COBURG,,,5.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
787,Colac,NM,1922-01-01,1922COLAC,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
788,Cohuna,NM,1922-01-01,1922COHUNA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
789,Coleraine,NM,1922-01-01,1922COLERAINE,,,12,12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33333333
790,Dandenong,NM,1922-01-01,1922DANDENONG,,,11,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
791,Dimboola,NM,1922-01-01,1922DIMBOOLA,,,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
792,Daylesford,NM,1922-01-01,1922DAYLESFORD,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
793,Donald,NM,1922-01-01,1922DONALD,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
794,Doncaster,NM,1922-01-01,1922DONCASTER,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
795,Drouin,NM,1922-01-01,1922DROUIN,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
796,Echuca,NM,1922-01-01,1922ECHUCA,,,18,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
797,Eaglehawk,NM,1922-01-01,1922EAGLEHAWK,,,9,4.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5
798,Elmore,NM,1922-01-01,1922ELMORE,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
799,Euroa,NM,1922-01-01,1922EUROA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
800,Essendon,M,1922-01-01,1922ESSENDON,,,5.75,3.75,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667
801,Frankston,NM,1922-01-01,1922FRANKSTON,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
802,Footscrays,M,1922-01-01,1922FOOTS,,,5,2,,,,,,,1.5,1.25,1,,,,,,,,,,,,,,,,,,,,2.15
803,Ferntreegully,NM,1922-01-01,1922FERNTREEGULLY,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
804,Gisborne,NM,1922-01-01,1922GISBORNE,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
805,Scalemescogeel,M,1922-01-01,1922SCALEMESCOGEEL,,,8.5,4.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.666666667
806,Scalehamilton,NM,1922-01-01,1922SCALEHAMILTON,,,10,6,8,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6875
807,Healesville,NM,1922-01-01,1922HEALESVILLE,,,10,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
808,Heathcote,NM,1922-01-01,1922HEATHCOTE,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
809,Heyfield,NM,1922-01-01,1922HEYFIELD,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
810,Heidelberg,NM,1922-01-01,1922HEIDELBERG,,,6,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667
811,Cobden,NM,1922-01-01,1922COBDEN,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
812,Hopetoun,NM,1922-01-01,1922HOPETOUN,,,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
813,Horsham,NM,1922-01-01,1922HORSHAM,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
814,Inglewood,NM,1922-01-01,1922INGLEWOOD,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
815,Jeparit,NM,1922-01-01,1922JEPARIT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
816,Kerang,NM,1922-01-01,1922KERANG,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
817,Kilmore,NM,1922-01-01,1922KILMORE,,,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
818,Koroit,NM,1922-01-01,1922KOROIT,,,10,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333
819,Kyneton,NM,1922-01-01,1922KYNETON,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
820,Poowong,NM,1922-01-01,1922POOWONG,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
821,Kyabram,NM,1922-01-01,1922KYABRAM,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
822,Leon,NM,1922-01-01,1922LEON,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
823,Lilydale,NM,1922-01-01,1922LILYDALE,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
824,Winchelsea,NM,1922-01-01,1922WINCHELSEA,,,15,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
825,Maffra,NM,1922-01-01,1922MAFFRA,,,12,5,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7.625
826,Mansfield,NM,1922-01-01,1922MANSFIELD,,,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
827,Mildura,NM,1922-01-01,1922MILDURA,,,12,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7.333333333
828,Minyip,NM,1922-01-01,1922MINYIP,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
829,Mornington,NM,1922-01-01,1922MORNINGTON,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
830,Mortlake,NM,1922-01-01,1922MORTLAKE,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
831,Mooroopna,NM,1922-01-01,1922MOOROOPNA,,,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
832,Murtoa,NM,1922-01-01,1922MURTOA,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
833,Murrayville,NM,1922-01-01,1922MURRAYVILLE,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
834,Goulburn,NM,1922-01-01,1922GOULBURN,,,10,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
835,Nathalia,NM,1922-01-01,1922NATHALIA,,,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
836,Nhill,NM,1922-01-01,1922NHILL,,,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
837,Northcote,M,1922-01-01,1922NORTHCOTE,,,5.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
838,Numurkah,NM,1922-01-01,1922NUMURKAH,,,9,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6
839,Nunawading,NM,1922-01-01,1922NUNAWADING,,,6,2.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333333333
840,Orbost,NM,1922-01-01,1922ORBOST,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
841,Ouyen,NM,1922-01-01,1922OUYEN,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
842,Portmelbourne,M,1922-01-01,1922PORTMELBOURNE,,,5,2.5,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.916666667
843,Portsea,NM,1922-01-01,1922PORTSEA,,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
844,Preston,M,1922-01-01,1922PRESTON,,,8,2.5,,1.625,,,,,,,,,,,,,,,,,,,,,,,,,,,4.041666667
845,Rainbow,NM,1922-01-01,1922RAINBOW,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
846,Riverlatrobehydro,NM,1922-01-01,1922RIVERLATROBEHYDRO,,,8,4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
847,Rochester,NM,1922-01-01,1922ROCHESTER,,,10,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
848,Rushworth,NM,1922-01-01,1922RUSHWORTH,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
849,Rutherglen,NM,1922-01-01,1922RUTHERGLEN,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
850,Rupanyup,NM,1922-01-01,1922RUPANYUP,,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
851,Sale,NM,1922-01-01,1922SALE,,,9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
852,Sealake,NM,1922-01-01,1922SEALAKE,,,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
853,Seymour,NM,1922-01-01,1922SEYMOUR,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
854,Shepparton,NM,1922-01-01,1922SHEPPARTON,,,10.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
855,Sorrento,NM,1922-01-01,1922SORRENTO,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
856,Stawell,NM,1922-01-01,1922STAWELL,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
857,Sunbury,NM,1922-01-01,1922SUNBURY,,,15,6,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75
858,Sunshine,NM,1922-01-01,1922SUNSHINE,,,6.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
859,Swanhill,NM,1922-01-01,1922SWANHILL,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
860,Tatura,NM,1922-01-01,1922TATURA,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
861,Terang,NM,1922-01-01,1922TERANG,,,15,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
862,Toora,NM,1922-01-01,1922TOORA,,,12,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666666667
863,Trentham,NM,1922-01-01,1922TRENTHAM,,,66,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
864,Upwey,NM,1922-01-01,1922UPWEY,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
865,Warburton,NM,1922-01-01,1922WARBURTON,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
866,Wahgunyah,NM,1922-01-01,1922WAHGUNYAH,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
867,Werribee,NM,1922-01-01,1922WERRIBEE,,,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
868,Williamstown,NM,1922-01-01,1922WILLIAMSTOWN,,,5.5,4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667
869,Wodonga,NM,1922-01-01,Wodonga,,,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
870,Woodend,NM,1922-01-01,1922WOODEND,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
871,Wycheproof,NM,1922-01-01,1922WYCHEPROOF,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
872,Yarram,NM,1922-01-01,1922YARRAM,,,8,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5
873,Yarrawonga,NM,1922-01-01,1922YARRAWONGA,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
874,Melbourne,M,1923-01-01,Corporation of the City of Melbourne,,,3.5,1.75,6,2,2,1.5,,,0.6,0.35,,,,,,,,,,,,,,,,,,,,,2.2125
875,Metro,M,1923-01-01,Melbourne Electric Supply Co. Ltd.,,,3.75,2.5,,0.8,,3,2.5,2,,,,,,,,,,,,,,,,,,,,,,,2.425
876,Alexandra,NM,1923-01-01,1923ALEXANDRA,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
877,Ararat,NM,1923-01-01,1923ARARAT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
878,Bairnsdale,NM,1923-01-01,1923BAIRNSDALE,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
879,Bacchusmarsh,NM,1923-01-01,1923BACCHUSMARSH,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
880,Belgrave,NM,1923-01-01,1923BELGRAVE,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
881,Ballarat,NM,1923-01-01,Electric Supply Company of Victoria Limited,,,9,3.5,9,1.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
882,Bendigo,NM,1923-01-01,Electric Supply Company of Victoria Limited,,,9,4,9,1.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
883,Karkarooc,NM,1923-01-01,1923KARKAROOC,,,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
884,Beaufort,NM,1923-01-01,1923BEAUFORT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
885,Birchip,NM,1923-01-01,1923BIRCHIP,,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
886,Bellarinemesco,NM,1923-01-01,Melbourne Electric Supply Co. Ltd.,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
887,Benalla,NM,1923-01-01,1923BENALLA,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
888,Boxhill,M,1923-01-01,1923BOXHILL,,,6,2.5,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
889,Braybrook,NM,1923-01-01,1923BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
890,Bright,M,1923-01-01,1923BRIGHT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
891,Broadmeadows,M,1923-01-01,1923BROADMEADOWS,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
892,Brunswick,M,1923-01-01,1923BRUNSWICK,,,6,2,3.5,1.5,6,,,,1.75,,,,,,,,,,,,,,,,,,,,,,3.458333333
893,Boort,NM,1923-01-01,1923BOORT,,,12,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25
894,Camperdown,NM,1923-01-01,1923CAMPERDOWN,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
895,Castlemaine,NM,1923-01-01,1923CASTLEMAINE,,,12,4.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
896,Casterton,NM,1923-01-01,1923CASTERTON,,,10.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
897,Carrum,NM,1923-01-01,1923CARRUM,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
898,Charlton,NM,1923-01-01,1923CHARLTON,,,12,4.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
899,Cobram,NM,1923-01-01,1923COBRAM,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
900,Coburg,M,1923-01-01,1923COBURG,,,6,2.5,4,1.75,,6.5,,,3,2.25,2,,,,,,,,,,,,,,,,,,,,3.5
901,Colac,NM,1923-01-01,1923COLAC,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
902,Cohuna,NM,1923-01-01,1923COHUNA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
903,Coleraine,NM,1923-01-01,1923COLERAINE,,,12,12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33333333
904,Dandenong,NM,1923-01-01,1923DANDENONG,,,11,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
905,Dimboola,NM,1923-01-01,1923DIMBOOLA,,,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
906,Daylesford,NM,1923-01-01,1923DAYLESFORD,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
907,Donald,NM,1923-01-01,1923DONALD,,,9,5,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6.166666667
908,Doncaster,NM,1923-01-01,1923DONCASTER,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
909,Drouin,NM,1923-01-01,1923DROUIN,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
910,Echuca,NM,1923-01-01,1923ECHUCA,,,18,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
911,Eaglehawk,NM,1923-01-01,1923EAGLEHAWK,,,9,4.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5
912,Elmore,NM,1923-01-01,1923ELMORE,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
913,Euroa,NM,1923-01-01,1923EUROA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
914,Essendon,M,1923-01-01,1923ESSENDON,,,5.75,3.75,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667
915,Frankston,NM,1923-01-01,1923FRANKSTON,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
916,Footscrays,M,1923-01-01,1923FOOTS,,,5,2,,,,,,,1.5,1.25,1,,,,,,,,,,,,,,,,,,,,2.15
917,Ferntreegully,NM,1923-01-01,1923FERNTREEGULLY,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
918,Gisborne,NM,1923-01-01,1923GISBORNE,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
919,Scalemescogeel,M,1923-01-01,1923SCALEMESCOGEEL,,,10,4.5,4,2,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,4.24
920,Scalehamilton,NM,1923-01-01,1923SCALEHAMILTON,,,10,6,8,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6875
921,Healesville,NM,1923-01-01,1923HEALESVILLE,,,10,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
922,Heathcote,NM,1923-01-01,1923HEATHCOTE,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
923,Heyfield,NM,1923-01-01,1923HEYFIELD,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
924,Heidelberg,NM,1923-01-01,1923HEIDELBERG,,,5.5,2.5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
925,Cobden,NM,1923-01-01,1923COBDEN,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
926,Hopetoun,NM,1923-01-01,1923HOPETOUN,,,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
